Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1181826/جلسه-اضطراری-سازمان-ملل-درباره-قرآن‌سوزی-در-سوئد,2267,20494,11.06%,1,6,0
https://www.tabnak.ir/fa/news/1183058/بیانیه-سفارت-ایران-در-پاسخ-به-اتهامات-ناتو,2263,33813,6.69%,1,8,0
https://www.tabnak.ir/fa/news/1171870/روش-های-دریافت-اینترنت-رایگان-اپراتورها,2258,23860,9.46%,1,0,0
https://www.tabnak.ir/fa/news/1183509/اینتر-وارد-داستان-انتقال-مهدی-طارمی-شد,2257,32877,6.86%,1,9,0
https://www.tabnak.ir/fa/news/1179343/آغاز-ثبت‌نام-وام-قرض‌الحسنه-بازنشستگان,2252,21808,10.33%,1,3,0
https://www.tabnak.ir/fa/news/1181899/بازداشت-رئیس-پناهنده-یک-فدراسیون-در-کشور-همسایه,2251,25206,8.93%,2,9,0
https://www.tabnak.ir/fa/news/1180705/بورس-فردا-نزولی-خواهد-شد,2250,21943,10.25%,6,5,0
https://www.tabnak.ir/fa/news/1176245/طوفان-کرمان-را-در-نوردید,2249,19477,11.55%,1,5,0
https://www.tabnak.ir/fa/news/1175185/افزایش-سرمایه-چند-نماد-بورسی-و-فرابورسی,2245,17111,13.12%,2,5,0
https://www.tabnak.ir/fa/news/1182751/پسروی-آب-دریای-خزر,2244,20380,11.01%,1,1,0
https://www.tabnak.ir/fa/news/1178191/گیلان-پربارش‌ترین-حوضه-آبریز-در-هفته-آینده,2240,30692,7.3%,1,1,0
https://www.tabnak.ir/fa/news/1178170/جریان-رستوران-میکونوس-چه-بود,2232,40815,5.47%,1,0,0
https://www.tabnak.ir/fa/news/1174373/توافقات-خوبی-میان-ایران-و-طرف-های-برجامی-صورت-گرفت-در-مرحله-نهایی-گشایش-سفارت-ایران-در-ریاض-هستیم,2231,29294,7.62%,1,3,0
https://www.tabnak.ir/fa/news/1177416/مهمترین-برنامه-اردوغان-در-سومین-دوره-قدرت-چیست,2231,16196,13.78%,1,6,0
https://www.tabnak.ir/fa/news/1176832/چرا-سقوط-قلعه-مستحکم-اوکراین-در-باخموت-اهمیت-دارد-تغییری-راهبردی-در-روند-جنگ-آغاز-شده-است,2229,32092,6.95%,1,2,0
https://www.tabnak.ir/fa/news/1180915/عبور-دلهره‌آور-سیارکی-۹۱-متری-از-کنار-زمین,2223,26834,8.28%,1,5,0
https://www.tabnak.ir/fa/news/1176191/جشن-ازدواج-دانشجویی-در-دانشگاه-شریف,2220,28904,7.68%,1,1,0
https://www.tabnak.ir/fa/news/1182036/دریادار-تنگسیری-تهدید-موشکی-ما-موجب-عقب‌نشینی-ناو-آمریکایی-شدجزئیات-شکایت-ایران-از-کانادا,2217,44432,4.99%,4,6,0
https://www.tabnak.ir/fa/news/1180916/سربازان-اشغالگر-روس-در-خیاباهای-قزوین-سال-۱۳۲۰,2216,26374,8.4%,1,6,0
